,sample_id,year,qc_pass,study_id,region,country,country_id,site,site_id,ARTresistant,CQresistant,MQresistant,PPQresistant,PYRresistant,SDXresistant
24048,SPT43220,2010,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,resistant,sensitive,sensitive,resistant,resistant
6491,PZ0005-C,2010,True,1024,,Uganda,UG,Apac,Apac,sensitive,resistant,sensitive,sensitive,resistant,undetermined
25634,SPT50188,2010,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
1980,PE0121-C,2010,True,1007,,Tanzania,TZ,Morogoro,Morogoro,sensitive,resistant,sensitive,sensitive,sensitive,resistant
24026,SPT43198,2010,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive
1952,PE0022-C,2010,True,1007,,Tanzania,TZ,Morogoro,Morogoro,sensitive,resistant,sensitive,sensitive,resistant,resistant
23996,SPT43164,2010,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,sensitive
1992,PE0133-C,2010,True,1007,,Tanzania,TZ,Morogoro,Morogoro,sensitive,sensitive,sensitive,sensitive,resistant,resistant
24001,SPT43169,2010,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,resistant,sensitive,sensitive,resistant,resistant
1949,PE0019-C,2010,True,1007,,Tanzania,TZ,Tanga,Tanga,sensitive,resistant,sensitive,sensitive,resistant,resistant
1987,PE0128-C,2010,True,1007,,Tanzania,TZ,Morogoro,Morogoro,sensitive,sensitive,sensitive,sensitive,resistant,sensitive
24018,SPT43188,2010,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
25639,SPT50193,2010,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
23987,SPT43155,2010,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
24057,SPT43230,2010,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
23986,SPT43154,2010,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
1958,PE0030-C,2010,True,1007,,Tanzania,TZ,Tanga,Tanga,sensitive,resistant,sensitive,sensitive,resistant,resistant
23989,SPT43157,2010,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
24047,SPT43219,2010,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,resistant,sensitive,sensitive,resistant,resistant
1991,PE0132-C,2010,True,1007,,Tanzania,TZ,Morogoro,Morogoro,sensitive,sensitive,sensitive,sensitive,resistant,sensitive
1990,PE0131-C,2010,True,1007,,Tanzania,TZ,Morogoro,Morogoro,sensitive,sensitive,sensitive,sensitive,resistant,resistant
24027,SPT43199,2010,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
1997,PE0138-C,2010,True,1007,,Tanzania,TZ,Morogoro,Morogoro,sensitive,resistant,sensitive,sensitive,resistant,resistant
24041,SPT43213,2010,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,undetermined
6498,PZ0010-CW,2010,True,1024,,Uganda,UG,Apac,Apac,sensitive,resistant,sensitive,sensitive,resistant,resistant
1983,PE0124-C,2010,True,1007,,Tanzania,TZ,Tanga,Tanga,sensitive,resistant,sensitive,sensitive,resistant,resistant
23984,SPT43152,2010,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,resistant,sensitive,sensitive,resistant,sensitive
24056,SPT43229,2010,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,undetermined,undetermined,sensitive,resistant
24002,SPT43170,2010,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
1951,PE0021-C,2010,True,1007,,Tanzania,TZ,Morogoro,Morogoro,sensitive,sensitive,sensitive,sensitive,resistant,resistant
24058,SPT43231,2010,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,undetermined,undetermined,resistant,resistant
