,sample_id,year,qc_pass,study_id,region,country,country_id,site,site_id,ARTresistant,CQresistant,MQresistant,PPQresistant,PYRresistant,SDXresistant
2550,PF0342-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2435,PF0192-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,undetermined
2529,PF0314-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive
2434,PF0191-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,undetermined,resistant
2562,PF0355-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2587,PF0381-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,undetermined,sensitive,sensitive,resistant,resistant
2674,PF0493-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,sensitive,sensitive
2456,PF0221-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,sensitive,resistant
2512,PF0288-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2465,PF0232-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2419,PF0169-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,resistant,sensitive,sensitive,sensitive,sensitive
2581,PF0374-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,undetermined,resistant
2543,PF0335-CW,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2450,PF0212-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2474,PF0242-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,undetermined,sensitive,sensitive,resistant,resistant
2491,PF0264-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,resistant,sensitive,sensitive,resistant,resistant
2429,PF0185-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2518,PF0298-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,resistant,sensitive,undetermined,sensitive,resistant
2481,PF0253-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,undetermined,undetermined
2516,PF0294-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2423,PF0176-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2420,PF0170-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2436,PF0193-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,sensitive,resistant
2422,PF0175-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,sensitive,resistant
2415,PF0164-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
